year,event_name,event_type,date,location,number_of_participants,prize_money,event_status
2024,Taif 1,Race,7/4/2024,Taif - King Khalid Racecourse,146,"176,000 SAR",Held
2024,Taif 2,Race,7/5/2024,Taif - King Khalid Racecourse,124,"885,000 SAR",Held
2024,Taif 3,Race,7/6/2024,Taif - King Khalid Racecourse,118,"935,000 SAR",Held
2024,Taif 4,Race,7/11/2024,Taif - King Khalid Racecourse,105,"167,000 SAR",Held
2024,Taif 5,Race,7/12/2024,Taif - King Khalid Racecourse,132,"855,000 SAR",Held
2024,Taif 6,Race,7/13/2024,Taif - King Khalid Racecourse,121,"805,000 SAR",Held
2024,Taif 7,Race,7/18/2024,Taif - King Khalid Racecourse,134,"193,000 SAR",Held
2024,Taif 8,Race,7/19/2024,Taif - King Khalid Racecourse,117,"890,000 SAR",Held
2024,Taif 9,Race,7/20/2024,Taif - King Khalid Racecourse,109,"910,000 SAR",Held
2024,Taif 10,Race,7/25/2024,Taif - King Khalid Racecourse,115,"199,000 SAR",Held
2024,Taif 11,Race,7/26/2024,Taif - King Khalid Racecourse,136,"800,000 SAR",Held
2024,Taif 12,Race,7/27/2024,Taif - King Khalid Racecourse,136,"985,000 SAR",Held
2024,Taif 13,Race,8/1/2024,Taif - King Khalid Racecourse,138,"230,000 SAR",Held
2024,Taif 14,Race,8/2/2024,Taif - King Khalid Racecourse,140,"945,000 SAR",Held
2024,Taif 15,Race,8/3/2024,Taif - King Khalid Racecourse,127,"1,055,000 SAR",Held
2024,Taif 16,Race,8/8/2024,Taif - King Khalid Racecourse,141,"230,000 SAR",Held
2024,Taif 17,Race,8/9/2024,Taif - King Khalid Racecourse,118,"1,000,000 SAR",Held
2024,Taif 18,Race,8/10/2024,Taif - King Khalid Racecourse,138,"925,000 SAR",Held
2024,Taif 19,Race,8/15/2024,Taif - King Khalid Racecourse,128,"189,019 SAR",Held
2024,Taif 20,Race,8/16/2024,Taif - King Khalid Racecourse,130,"755,000 SAR",Held
2024,Taif 21,Race,8/17/2024,Taif - King Khalid Racecourse,121,"840,000 SAR",Held
2024,Taif 22,Race,8/22/2024,Taif - King Khalid Racecourse,138,"209,000 SAR",Held
2024,Taif 23,Race,8/23/2024,Taif - King Khalid Racecourse,142,"1,075,000 SAR",Held
2024,Taif 24,Race,8/24/2024,Taif - King Khalid Racecourse,117,"2,065,000 SAR",Held
2024,Taif 25,Race,8/29/2024,Taif - King Khalid Racecourse,85,"252,000 SAR",Held
2024,Taif 26,Race,8/30/2024,Taif - King Khalid Racecourse,32,"1,150,000 SAR",Held
2024,Taif 27,Race,8/31/2024,Taif - King Khalid Racecourse,112,"1,105,000 SAR",Held
2024,Taif 28,Race,9/5/2024,Taif - King Khalid Racecourse,147,"204,019 SAR",Held
2024,Taif 29,Race,9/6/2024,Taif - King Khalid Racecourse,126,"1,250,000 SAR",Held
2024,Taif 30,Race,9/7/2024,Taif - King Khalid Racecourse,158,"1,035,000 SAR",Held
2024,Taif 31,Race,9/12/2024,Taif - King Khalid Racecourse,155,"239,000 SAR",Held
2024,Taif 32,Race,9/13/2024,Taif - King Khalid Racecourse,134,"1,295,000 SAR",Held
2024,Taif 33,Race,9/14/2024,Taif - King Khalid Racecourse,130,"865,000 SAR",Held
2024,Taif 34,Race,9/19/2024,Taif - King Khalid Racecourse,127,"250,000 SAR",Held
2024,Taif 35,Race,9/20/2024,Taif - King Khalid Racecourse,123,"4,600,000 SAR",Held
2024,Taif 36,Race,9/21/2024,Taif - King Khalid Racecourse,107,"1,325,000 SAR",Held
2024,Taif 37,Race,9/26/2024,Taif - King Khalid Racecourse,120,"242,000 SAR",Held
2024,Taif 38,Race,9/27/2024,Taif - King Khalid Racecourse,121,"1,595,000 SAR",Held
2024,Taif 39,Race,9/28/2024,Taif - King Khalid Racecourse,124,"1,435,000 SAR",Held
2024,Riyadh 40,Race,10/17/2024,Riyadh Ð King Abdulaziz Racecourse,192,"455,000 SAR",Held
2024,Riyadh 41,Race,10/18/2024,Riyadh Ð King Abdulaziz Racecourse,154,"1,015,000 SAR",Held
2024,Riyadh 42,Race,10/19/2024,Riyadh Ð King Abdulaziz Racecourse,162,"1,070,000 SAR",Held
2024,Riyadh 43,Race,10/24/2024,Riyadh Ð King Abdulaziz Racecourse,197,"240,000 SAR",Held
2024,Riyadh 44,Race,10/25/2024,Riyadh Ð King Abdulaziz Racecourse,165,"1,240,000 SAR",Held
2024,Riyadh 45,Race,10/26/2024,Riyadh Ð King Abdulaziz Racecourse,163,"1,325,000 SAR",Held
2024,Riyadh 46,Race,10/31/2024,Riyadh Ð King Abdulaziz Racecourse,186,"282,000 SAR",Held
2024,Riyadh 47,Race,11/1/2024,Riyadh Ð King Abdulaziz Racecourse,191,"1,065,000 SAR",Held
2024,Riyadh 48,Race,11/2/2024,Riyadh Ð King Abdulaziz Racecourse,176,"1,055,000 SAR",Held
2024,Riyadh 49,Race,11/7/2024,Riyadh Ð King Abdulaziz Racecourse,194,"270,000 SAR",Held
2024,Riyadh 50,Race,11/8/2024,Riyadh Ð King Abdulaziz Racecourse,194,"865,000 SAR",Held
2024,Riyadh 51,Race,11/9/2024,Riyadh Ð King Abdulaziz Racecourse,174,"1,225,000 SAR",Held
2024,Riyadh 52,Race,11/14/2024,Riyadh Ð King Abdulaziz Racecourse,197,"304,000 SAR",Held
2024,Riyadh 53,Race,11/15/2024,Riyadh Ð King Abdulaziz Racecourse,192,"1,060,000 SAR",Held
2024,Riyadh 54,Race,11/16/2024,Riyadh Ð King Abdulaziz Racecourse,163,"1,595,000 SAR",Held
2024,Riyadh 55,Race,11/21/2024,Riyadh Ð King Abdulaziz Racecourse,213,"313,000 SAR",Held
2024,Riyadh 56,Race,11/22/2024,Riyadh Ð King Abdulaziz Racecourse,345,"1,370,000 SAR",Held
2024,Riyadh 57,Race,11/23/2024,Riyadh Ð King Abdulaziz Racecourse,44,"2,080,000 SAR",Held
2024,Riyadh 58,Race,11/28/2024,Riyadh Ð King Abdulaziz Racecourse,171,"739,000 SAR",Held
2024,Riyadh 59,Race,11/29/2024,Riyadh Ð King Abdulaziz Racecourse,198,"1,205,000 SAR",Held
2024,Riyadh 60,Race,11/30/2024,Riyadh Ð King Abdulaziz Racecourse,160,"1,190,000 SAR",Held
2024,Riyadh 61,Race,12/5/2024,Riyadh Ð King Abdulaziz Racecourse,201,"287,000 SAR",Held
2024,Riyadh 62,Race,12/6/2024,Riyadh Ð King Abdulaziz Racecourse,196,"1,160,000 SAR",Held
2024,Riyadh 63,Race,12/7/2024,Riyadh Ð King Abdulaziz Racecourse,170,"3,915,000 SAR",Held
2024,Riyadh 64,Race,12/12/2024,Riyadh Ð King Abdulaziz Racecourse,201,"307,000 SAR",Held
2024,Riyadh 65,Race,12/13/2024,Riyadh Ð King Abdulaziz Racecourse,214,"1,005,000 SAR",Held
2024,Riyadh 66,Race,12/14/2024,Riyadh Ð King Abdulaziz Racecourse,168,"3,065,000 SAR",Held
2024,Riyadh 67,Race,12/19/2024,Riyadh Ð King Abdulaziz Racecourse,172,"303,000 SAR",Held
2024,Riyadh 68,Race,12/20/2024,Riyadh Ð King Abdulaziz Racecourse,133,"960,000 SAR",Held
2024,Riyadh 69,Race,12/21/2024,Riyadh Ð King Abdulaziz Racecourse,172,"1,370,000 SAR",Held
2024,Riyadh 70,Race,12/26/2024,Riyadh Ð King Abdulaziz Racecourse,134,"298,038 SAR",Held
2024,Riyadh 71,Race,12/27/2024,Riyadh Ð King Abdulaziz Racecourse,143,"2,445,000 SAR",Held
2024,Riyadh 72,Race,12/28/2024,Riyadh Ð King Abdulaziz Racecourse,163,"1,225,000 SAR",Held
2025,Riyadh 73,Race,1/2/2025,Riyadh Ð King Abdulaziz Racecourse,174,"305,000 SAR",Held
2025,Riyadh 74,Race,1/3/2025,Riyadh Ð King Abdulaziz Racecourse,157,"3,550,000 SAR",Held
2025,Riyadh 75,Race,1/4/2025,Riyadh Ð King Abdulaziz Racecourse,158,"5,650,000 SAR",Held
2025,Riyadh 76,Race,1/9/2025,Riyadh Ð King Abdulaziz Racecourse,65,N/A (Prize provided by His Highness),Held
2025,Riyadh 77,Race,1/10/2025,Riyadh Ð King Abdulaziz Racecourse,62,N/A (Prize provided by His Highness),Held
2025,Riyadh 78,Race,1/11/2025,Riyadh Ð King Abdulaziz Racecourse,158,"1,240,000 SAR",Held
2025,Riyadh 79,Race,1/16/2025,Riyadh Ð King Abdulaziz Racecourse,184,"252,000 SAR",Held
2025,Riyadh 80,Race,1/17/2025,Riyadh Ð King Abdulaziz Racecourse,136,"1,420,000 SAR",Held
2025,Riyadh 81,Race,1/18/2025,Riyadh Ð King Abdulaziz Racecourse,163,"1,290,000 SAR",Held
2025,Riyadh 82,Race,1/23/2025,Riyadh Ð King Abdulaziz Racecourse,186,"304,000 SAR",Held
2025,Riyadh 83,Race,1/24/2025,Riyadh Ð King Abdulaziz Racecourse,198,"1,480,000 SAR",Held
2025,Riyadh 84,Race,1/25/2025,Riyadh Ð King Abdulaziz Racecourse,195,"14,565,000 SAR",Held
2025,Riyadh 85,Race,1/30/2025,Riyadh Ð King Abdulaziz Racecourse,181,"283,000 SAR",Held
