Date,Category,Expenditure in Million SAR,Periodicity,Date_Object
2015,Leisure,4954.06816396099,Annually,2015-01-01
2014,Visits To Relatives And Friends,4805,Annually,2014-01-01
2017,Business,18382.1944831842,Annually,2017-01-01
2016,Religious Purposes,54090.5778610591,Annually,2016-01-01
2018,Religious Purposes,68837.7919224969,Annually,2018-01-01
2021,Religious Purposes,1783,Annually,2021-01-01
2015,Other Purposes,9067.18002690308,Annually,2015-01-01
2018,Other Purposes,918.220109932818,Annually,2018-01-01
2016,Total Expenditure,93422.834644098,Annually,2016-01-01
2018,Total Expenditure,93477.6337617426,Annually,2018-01-01
2022,Total Expenditure,90861,Annually,2022-01-01
2014,Leisure,2127,Annually,2014-01-01
2017,Leisure,1703.45812520744,Annually,2017-01-01
2021,Business,5286,Annually,2021-01-01
2014,Religious Purposes,31372,Annually,2014-01-01
2017,Other Purposes,1096.51551398022,Annually,2017-01-01
2014,Total Expenditure,53288,Annually,2014-01-01
2015,Total Expenditure,82499.781932579,Annually,2015-01-01
2017,Total Expenditure,97778.4091142448,Annually,2017-01-01
2020,No. of Visitors (Thousands),4138.17825123109,Annually,2020-01-01
2022,No. of Visitors (Thousands),16513,Annually,2022-01-01
2019,Leisure,5048.87711957537,Annually,2019-01-01
2021,Leisure,1267,Annually,2021-01-01
2015,Visits To Relatives And Friends,10621.8862796244,Annually,2015-01-01
2017,Visits To Relatives And Friends,5687.09747755823,Annually,2017-01-01
2019,Visits To Relatives And Friends,7772.77865646436,Annually,2019-01-01
2015,Business,10090.8264364065,Annually,2015-01-01
2016,Business,26279.8276069441,Annually,2016-01-01
2020,Business,3392.36981588814,Annually,2020-01-01
2014,Other Purposes,6037,Annually,2014-01-01
2016,Other Purposes,3107.21343792878,Annually,2016-01-01
2019,Other Purposes,2033.87380845778,Annually,2019-01-01
2021,Other Purposes,1818,Annually,2021-01-01
2020,Total Expenditure,20100.7409923015,Annually,2020-01-01
2015,No. of Visitors (Thousands),17994.2259586281,Annually,2015-01-01
2016,No. of Visitors (Thousands),18044.3531959952,Annually,2016-01-01
2017,No. of Visitors (Thousands),16108.9676966402,Annually,2017-01-01
2020,Leisure,1933.51081635815,Annually,2020-01-01
2016,Visits To Relatives And Friends,7064.63938245143,Annually,2016-01-01
2020,Visits To Relatives And Friends,2475.02221411316,Annually,2020-01-01
2021,Visits To Relatives And Friends,4561,Annually,2021-01-01
2014,Business,8947,Annually,2014-01-01
2019,Business,20421.3166796031,Annually,2019-01-01
2015,Religious Purposes,47765.821025684,Annually,2015-01-01
2022,Religious Purposes,37255,Annually,2022-01-01
2022,Other Purposes,3797,Annually,2022-01-01
2019,Total Expenditure,103353.866493663,Annually,2019-01-01
2021,Total Expenditure,14715,Annually,2021-01-01
2014,No. of Visitors (Thousands),18260.3658531746,Annually,2014-01-01
2018,No. of Visitors (Thousands),15334.3349572585,Annually,2018-01-01
2019,No. of Visitors (Thousands),17525.6364098251,Annually,2019-01-01
2016,Leisure,2880.57635571463,Annually,2016-01-01
2018,Leisure,1991.23594681827,Annually,2018-01-01
2022,Leisure,12622,Annually,2022-01-01
2018,Visits To Relatives And Friends,5245.89908412361,Annually,2018-01-01
2022,Visits To Relatives And Friends,22869,Annually,2022-01-01
2018,Business,16484.486698371,Annually,2018-01-01
2022,Business,14318,Annually,2022-01-01
2017,Religious Purposes,70909.1435143147,Annually,2017-01-01
2019,Religious Purposes,68077.0202295627,Annually,2019-01-01
2020,Religious Purposes,11101.6903757638,Annually,2020-01-01
2020,Other Purposes,1198.14777017827,Annually,2020-01-01
2021,No. of Visitors (Thousands),3477.216,Annually,2021-01-01
