latitude,longitude,normalized_rating,popularity_score,category_beach,category_shopping_mall,category_unesco_world_heritage_site,category_museum,category_landmark,category_waterfront,category_natural_wonder,category_natural_reserve,category_cultural_district,category_historic_site,category_nature_park,category_historic_village,category_cultural_center,category_historic_fort,category_heritage_village,indoor_flag,activity_intensity_score
26.6089,37.9237,0.875,8.086717920303906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
21.5431,39.1728,0.5,9.093918908958932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
24.7397,46.5766,0.75,8.630700432209832,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
21.5795,39.1466,0.625,9.425532393502772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
16.7029,41.9932,1.0,7.523481312573497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
22.9061,41.142,0.75,7.650168700845001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
21.6254,39.1068,0.25,9.825580063659602,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
26.3042,50.1645,1.0,8.881975184248867,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
26.2789,50.2084,0.3750000000000009,9.137877200242468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
25.3319,45.2547,0.625,7.123672785204607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
18.2738,42.3667,0.75,8.594339400592892,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
28.3838,36.5713,0.25,8.03947991910045,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
27.0174,49.6572,0.1250000000000009,8.412054873292933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18.2164,42.5048,0.5,8.824824939175638,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
26.2572,50.1906,0.3750000000000009,9.093918908958932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24.6478,46.7106,0.75,9.61587214452889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
24.5338,54.3989,0.875,10.714439990727769,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
26.7856,37.9538,1.0,9.04793908261736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21.4858,39.1925,0.625,9.99884318585288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18.2127,42.2458,0.875,8.071218539969863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
24.7738,46.6422,0.3750000000000009,10.239995502805316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
21.6288,39.1581,0.5,10.463131911491967,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
26.3023,50.1644,0.25,9.852246888342531,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
24.8098,46.6347,0.1250000000000009,9.711176264112805,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
21.7395,39.0967,0.25,9.071193240566025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25.0201,37.2669,0.875,8.594339400592892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21.8024,39.0745,0.3750000000000009,8.732465848349879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26.2653,50.2048,0.0,8.31898612539206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18.0833,42.5,0.875,8.764209507142004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24.7136,46.6753,0.625,9.093918908958932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24.7119,46.675,0.75,8.630700432209832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21.5433,39.1728,0.875,11.736077016252437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24.6864,46.7169,0.3750000000000009,9.61587214452889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21.6666,39.1106,0.5,9.825580063659602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
