poi_id,avg_score,min_score,fairness_score,final_group_score,poi_latitude,poi_longitude,poi_normalized_rating,poi_popularity_score,poi_category
POI_017,0.7084078419586196,0.5447792552148298,0.8581803732870033,0.6892737722011595,24.5338,54.3989,0.875,10.714439990727769,museum
POI_032,0.7195622797840125,0.4471858449753114,0.744145429417625,0.6427659792681246,21.5433,39.1728,0.875,11.736077016252436,unknown
POI_008,0.6775330338881039,0.3061837596265657,0.6783734217240807,0.5662963291768378,26.3042,50.1645,1.0,8.881975184248867,cultural_center
POI_011,0.5692957915042106,0.3703265506022108,0.8252081464733951,0.5607874902274476,18.2738,42.3667,0.75,8.594339400592892,nature_park
POI_018,0.6885645235288874,0.2663944156201967,0.6329573207457186,0.5507920505996464,26.7856,37.9538,1.0,9.04793908261736,unesco_world_heritage_site
POI_005,0.5490978059084299,0.20200750972998308,0.6859240787525789,0.47233597162372565,16.7029,41.9932,1.0,7.523481312573497,natural_reserve
POI_020,0.4446613973322872,0.19942928720437286,0.7753235171088815,0.43722418824923176,18.2127,42.2458,0.875,8.071218539969863,heritage_village
POI_029,0.38705390571380716,0.237087751736613,0.835687576523626,0.4317907936826127,18.0833,42.5,0.875,8.764209507142004,unknown
POI_031,0.2955505850440017,0.24398341271455407,0.9392045335302884,0.4088112230424248,24.7119,46.675,0.75,8.630700432209832,unknown
POI_001,0.22618084981920714,0.2118326562560364,0.9875714494142233,0.37415451166925917,26.6089,37.9237,0.875,8.086717920303906,historic_site
POI_026,0.29042967046801654,0.1772865830159631,0.8630650801417736,0.37101382616715195,25.0201,37.2669,0.875,8.594339400592892,unknown
POI_006,0.2178633582907552,0.17994124290979993,0.9650225931557632,0.3559185706494702,22.9061,41.142,0.75,7.650168700845001,natural_wonder
POI_003,0.21490238713772247,0.17168261103698387,0.9470883850696198,0.34837365389388036,24.7397,46.5766,0.75,8.630700432209832,cultural_district
POI_004,0.3086977325283759,0.11508175854849698,0.7766900457464079,0.34421140297801867,21.5795,39.1466,0.625,9.425532393502772,waterfront
POI_016,0.18797213597879625,0.17081177316528645,0.9826688099537809,0.3417633619297402,24.6478,46.7106,0.75,9.61587214452889,museum
