poi_id,predicted_like_prob,poi_latitude,poi_longitude,poi_normalized_rating,poi_popularity_score,poi_category
POI_017,0.7845590336021072,24.5338,54.3989,0.875,10.714439990727769,museum
POI_011,0.6981167876759362,18.2738,42.3667,0.75,8.594339400592892,nature_park
POI_004,0.552991232819143,21.5795,39.1466,0.625,9.425532393502772,waterfront
POI_032,0.4471858449753114,21.5433,39.1728,0.875,11.736077016252436,unknown
POI_008,0.30618375962656563,26.3042,50.1645,1.0,8.881975184248867,cultural_center
POI_009,0.2701039572657653,26.2789,50.2084,0.3750000000000009,9.137877200242468,waterfront
POI_018,0.2663944156201967,26.7856,37.9538,1.0,9.04793908261736,unesco_world_heritage_site
POI_031,0.24398341271455407,24.7119,46.675,0.75,8.630700432209832,unknown
POI_029,0.237087751736613,18.0833,42.5,0.875,8.764209507142004,unknown
POI_001,0.2330982838482359,26.6089,37.9237,0.875,8.086717920303906,historic_site
POI_006,0.22478889092736004,22.9061,41.142,0.75,7.650168700845001,natural_wonder
POI_005,0.20200750972998308,16.7029,41.9932,1.0,7.523481312573497,natural_reserve
POI_020,0.19942928720437292,18.2127,42.2458,0.875,8.071218539969863,heritage_village
POI_016,0.18763538913083838,24.6478,46.7106,0.75,9.61587214452889,museum
POI_025,0.18627877715067903,21.7395,39.0967,0.25,9.071193240566023,beach
