Route_ID,User_ID,Sequence,Total_Duration,Total_Cost,Weather,Traffic_Level,Crowd_Density,Event_Impact,Optimal_Route_Preference,Satisfaction_Score,Age,Gender,Nationality,Travel_Companions,Budget_Category,Preferred_Theme,Preferred_Transport,Number_of_Stops,Traffic_Level_Score,Crowd_Density_Score,Budget_Level_Score,Total_Duration_Normalized,Total_Cost_Normalized,Age_Normalized,Number_of_Stops_Normalized
1,23,42->32->48->20->29->9,466,1541,Sunny,Medium,Low,Festival,9->20->29->32->42->48,2,61,Other,USA,Family,Low,Relaxation,Taxi,6,1,0,0,0.7208333333333333,0.10947213149299337,0.826923076923077,0.75
2,124,7->44->43->50->30,151,3817,Rainy,High,High,Festival,7->30->43->44->50,4,18,Male,India,Group,High,Shopping,Bus,5,2,2,2,0.06458333333333333,0.3492782636181646,0.0,0.5
3,135,27->3->32->28->2->36->31,559,8087,Rainy,Low,High,None,2->3->27->28->31->32->36,4,68,Male,USA,Group,Medium,Shopping,Walk,7,0,2,1,0.9145833333333333,0.7991781687914866,0.9615384615384616,1.0
4,86,38->2->20->19->40->39->29,159,2218,Snowy,Medium,High,Festival,2->19->20->29->38->39->40,4,38,Female,USA,Friends,Low,Adventure,Car,7,1,2,0,0.08124999999999999,0.18080286587293223,0.3846153846153847,1.0
5,137,27->24->3,466,1388,Snowy,Low,Medium,Holiday,3->24->27,2,35,Female,China,Solo,High,Cultural,Car,3,0,1,2,0.7208333333333333,0.09335159624907807,0.326923076923077,0.0
6,153,29->23->40->16->49->37->14,556,5212,Sunny,Low,High,Festival,14->16->23->29->37->40->49,2,20,Female,USA,Group,Low,Shopping,Walk,7,0,2,0,0.9083333333333332,0.4962596143715099,0.03846153846153849,1.0
7,34,47->8->23,257,9545,Sunny,High,Medium,Holiday,8->23->47,2,29,Male,China,Friends,High,Shopping,Train,3,2,1,2,0.28541666666666665,0.9527973869982088,0.21153846153846156,0.0
8,198,6->15->21->28->3,438,2141,Cloudy,Medium,Low,Holiday,3->6->15->21->28,4,39,Female,Japan,Friends,High,Relaxation,Taxi,5,1,0,2,0.6625,0.17268991676324938,0.40384615384615385,0.5
9,160,48->45->44->9,219,5649,Rainy,High,Medium,Festival,9->44->45->48,2,43,Female,Germany,Friends,Low,Food,Taxi,4,2,1,0,0.20625,0.5423032346433463,0.48076923076923084,0.25
10,76,24->5->14,287,7179,Sunny,Low,High,None,5->14->24,3,66,Female,Japan,Solo,Low,Nature,Walk,3,0,2,0,0.34791666666666665,0.7035085870824992,0.9230769230769232,0.0
11,109,3->37->27->25->5->4,148,6451,Rainy,High,Low,Festival,3->4->5->25->27->37,4,40,Male,USA,Family,Low,Food,Car,6,2,0,0,0.05833333333333335,0.6268043409545886,0.42307692307692313,0.75
12,29,12->44->16->38->34->46,490,6580,Snowy,High,Medium,Holiday,12->16->34->38->44->46,3,40,Other,China,Friends,Medium,Cultural,Taxi,6,2,1,1,0.7708333333333333,0.6403961647876936,0.42307692307692313,0.75
13,168,23->31->21->42->35,155,1339,Sunny,High,Low,None,21->23->31->35->42,2,33,Male,Germany,Group,Low,Adventure,Walk,5,2,0,0,0.07291666666666669,0.08818881045200716,0.28846153846153855,0.5
14,130,16->22->37->5->13->30->6,582,7743,Cloudy,Low,High,Holiday,5->6->13->16->22->30->37,5,41,Other,India,Friends,Medium,Shopping,Train,7,0,2,1,0.9624999999999999,0.7629333052365399,0.4423076923076924,1.0
15,107,43->3->6->38->50->24,263,9695,Snowy,Medium,Low,None,3->6->24->38->43->50,4,39,Female,UK,Family,High,Food,Car,6,1,0,2,0.2979166666666666,0.9686018333157728,0.40384615384615385,0.75
16,174,1->48->47->44->22,246,5125,Snowy,Medium,Low,Festival,1->22->44->47->48,2,58,Other,China,Family,Low,Food,Bike,5,1,0,0,0.26249999999999996,0.48709303550732275,0.7692307692307693,0.5
17,14,48->8->45->11,559,2422,Cloudy,Low,Medium,Festival,8->11->45->48,5,35,Other,Japan,Group,Low,Shopping,Taxi,4,0,1,0,0.9145833333333333,0.2022969128648193,0.326923076923077,0.25
18,154,37->46->36->48->33->27->34,472,1833,Sunny,Medium,Medium,Holiday,27->33->34->36->37->46->48,4,42,Other,France,Solo,Medium,Adventure,Bus,7,1,1,1,0.7333333333333333,0.14023812032451796,0.46153846153846156,1.0
